Track,Album Name,Artist,Release Date,All Time Rank,Spotify Streams,Spotify Popularity
SUPERMODEL,SUPERMODEL,Mï¿½ï¿½ne,5/13/2022,1936,308183607,64.0
Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,1/18/2019,1935,1016283394,68.0
Bodak Yellow,Bodak Yellow,Cardi B,6/16/2017,1932,894360950,66.0
Latch,Settle,Disclosure,1/1/2013,1933,1017438306,71.0
Mourning,Mourning,Post Malone,5/19/2023,1938,160305133,62.0
300 Noches,300 Noches,Belinda,4/25/2024,1937,51637997,78.0
How Do You Sleep?,How Do You Sleep?,Sam Smith,7/19/2019,1931,972593978,62.0
BAIXO,BAIXO,xxanteria,9/19/2023,1942,101938916,0.0
Asylum,Avana (Deluxe),Olivetheboy,3/1/2024,1940,4792243,64.0
American Boy (No Rap Version),American Boy (Remixes 2024) - Single,Estelle,5/22/2024,1941,12102307,0.0
ceilings,five seconds flat,Lizzy McAlpine,4/8/2022,1944,540382129,76.0
Love On The Brain,ANTI (Deluxe),Rihanna,1/28/2016,1943,1480311407,78.0
HIBIKI,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,1948,160821035,0.0
GATITAS SANDUNGUERAS VOL.1,GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,5/16/2024,1946,41517704,79.0
Gangsta's Paradise,Gangsta's Paradise (25th Anniversary - Remastered),Coolio,9/25/2020,1945,1675750095,25.0
Broccoli (feat. Lil Yachty),Broccoli (feat. Lil Yachty) - Single,DRAM,4/6/2016,1947,849055927,58.0
LOST!,"Right Place, Wrong Person",RM,5/24/2024,1958,31453044,80.0
Stay (with Alessia Cara),Stay,Zedd,2/23/2017,1949,1224136357,70.0
YuNg BrAtZ,Revenge,XXXTENTACION,5/16/2017,1950,442472374,68.0
"Saami Saami (From ""Pushpa The Rise Part - 01"")","Saami Saami (From ""Pushpa The Rise Part - 01"")",Sunidhi Chauhan,12/13/2021,1957,50831625,49.0
Facas - Ao Vivo,Diego & Victor Hugo Ao Vivo Em Sï¿½ï¿½o Paulo Vo,Diego & Victor Hugo,8/4/2022,1954,278318,17.0
Thoda Thoda Pyaar,Thoda Thoda Pyaar,Stebin Ben,2/12/2021,1959,122853878,0.0
Black And Yellow,Black And Yellow,Wiz Khalifa,9/14/2010,1960,636986949,69.0
SKEU SKEU (SPEED UP),SKEU SKEU (SPEED UP) (feat. Wilsko & 7ia) - Single,Jogga,9/20/2023,1956,18794730,0.0
Sahara,Sahara,Hensonn,11/16/2021,1953,274961162,67.0
"Leke Prabhu Ka Naam (From ""Tiger 3"")","Leke Prabhu Ka Naam (From ""Tiger 3"")",Pritam,10/23/2023,1952,31783195,0.0
Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2/8/2024,1955,89513100,0.0
The Search,The Search,NF,5/30/2019,1951,582823215,69.0
Save Me (with Lainey Wilson),Whitsitt Chapel,Jelly Roll,6/2/2023,1972,0,0.0
Tacos Gucci,Tacos Gucci - Single,Anuel AA,2/15/2024,1970,31900914,0.0
wiggy,wiggy,Young Miko,7/21/2023,1962,135841710,61.0
Nxde,I love,(G)I-DLE,10/17/2022,1969,242708368,66.0
Vaina Loca,Vaina Loca,Ozuna,6/28/2018,1963,818413674,68.0
Street Runner,Street Runner,Rod Wave,3/10/2021,1961,163921357,64.0
Pure Water (with Migos),Pure Water (with Migos),Mustard,1/16/2019,1971,726877512,66.0
Ay Vamos,Superventas 2015,J Balvin,3/3/2014,1966,385438228,68.0
Samba de Malandro,Samba de Malandro,MC Paulin da Capital,3/14/2024,1967,44365910,75.0
Entre las de 20,Entre las de 20,Bizarrap,4/2/2024,1968,100182006,78.0
We Found Love,Talk That Talk (Explicit),Rihanna,1/1/2011,1965,1655539775,79.0
Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,6/22/2023,1964,470358238,51.0
Shut up My Moms Calling,Shut up My Moms Calling - Single,Hotel Ugly,2/10/2020,1983,864865822,82.0
Hell N Back,Hell N Back (Sped Up),Bakar,8/14/2019,1975,512194074,71.0
Stand By Me (feat. Morgan Wallen),Almost Healed,Lil Durk,5/26/2023,1978,132870060,69.0
Wake Me Up (Remix),Dance Essentials 2,Nick White,4/1/2022,2192,2300429829,0.0
Yaad Piya Ki Aane Lagi,Yaad Piya Ki Aane Lagi,Neha Kakkar,11/16/2019,1976,86910140,56.0
A-O-K,A-O-K,Tai Verdes,5/6/2021,1982,389915082,66.0
Shotgun,Staying at Tamara's,George Ezra,3/23/2018,1980,930662973,71.0
Kiss Me,Songs of Sonder,Dermot Kennedy,9/2/2022,1973,149237160,65.0
COCO LOCO,COCO LOCO - Single,Maluma,6/8/2023,1977,173609862,63.0
Sunny Day,Sunny Day,Matteo Rossanese,5/28/2021,1974,5936,0.0
"High Rated Gabru (From ""High Rated Gabru"")",High Rated Gabru,Guru Randhawa,7/4/2017,1981,37248788,50.0
"I spoke to the devil in miami, he said everything would be fine",LOOK AT ME: THE ALBUM,XXXTENTACION,6/10/2022,1979,42993944,58.0
Goosebumps,Goosebumps,HVME,6/12/2020,1999,495274429,63.0
Tï¿½ï¿½ï¿½t Bï¿½ï¿½n,Tï¿½ï¿½ï¿½t Bï¿½ï¿½n,Hana Cï¿½ï¿½ï¿½m,1/3/2023,1994,558538,30.0
Aigiri Nandini,Numinosum,Nagavalli,2/10/2023,1998,0,0.0
Rolex,Rolex,Ayo & Teo,3/15/2017,1996,491634627,62.0
on one tonight,One of Wun,Gunna,5/10/2024,1986,28658023,77.0
You & Me - Rivo Remix,You & Me (Rivo Remix),Disclosure,12/22/2023,1995,76959761,76.0
Whiskey On You,Whiskey On You - Single,Nate Smith,5/6/2022,1985,193854805,68.0
Nostï¿½ï¿½l,Nostï¿½ï¿½lgico - Si,Rvssian,9/8/2021,1992,503972431,68.0
NO,NO,Meghan Trainor,3/4/2016,1988,614050155,69.0
HP,HP,Maluma,3/1/2019,1997,614313540,64.0
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,8/18/2023,2000,190634973,79.0
I'm a Mess,I'm a Mess,Bebe Rexha,6/15/2018,1987,671869078,65.0
Un Ratito,Un Verano Sin Ti,Bad Bunny,5/6/2022,1990,500671737,70.0
Mamaw's House,Mamaw's House,Thomas Rhett,9/28/2023,1991,57956846,0.0
Sezen Aksu,#1 - EP,Lvbel C5,4/12/2024,1993,46650884,75.0
hotline (edit),hotline (edit),Billie Eilish,5/9/2023,1984,366169549,78.0
One More Night,Overexposed Track By Track,Maroon 5,1/1/2012,1989,885944426,73.0
Can We Kiss Forever?,Can We Kiss Forever?,Kina,8/31/2018,2001,634333924,0.0
Sigue,Capï¿½ï¿½tu,Beny Jr,4/1/2022,2008,243125642,74.0
Desconocidos,Desconocidos,Mau y Ricky,10/12/2018,2006,757001327,65.0
After Party,Heaven Or Hell,Don Toliver,3/13/2020,2005,706711575,69.0
Fluxxwave,Fluxxwave,Clovis Reyes,5/7/2023,2002,88673935,69.0
We Can't Stop,NOW: The Hits Of Summer 2014,Miley Cyrus,1/1/2013,2003,970858824,71.0
Buy Dirt,Buy Dirt,Jordan Davis,5/21/2021,2007,457254811,77.0
Las Morras,Las Morras,Peso Pluma,4/4/2023,2004,253711656,66.0
Mamichula - con Nicki Nicole,Atrevido,Trueno,7/23/2020,2013,515582705,76.0
Fighting My Demons,A Great Chaos,Ken Carson,10/13/2023,2015,97155109,0.0
FAKE LOVE,Love Yourself ï¿½ï¿½ï¿½ 'A,BTS,8/24/2018,2010,800203170,57.0
The Sound Of Silence,The Sound of Silence (CYRIL Remix),Disturbed,1/1/2015,2022,777947820,70.0
Higher Power,Higher Power,Coldplay,5/7/2021,2016,349603788,63.0
The Perfect Girl,The Perfect Girl,Mareux,10/13/2019,2018,402007889,72.0
Yeah! (feat. Lil Jon & Ludacris),Kings Of Crunk (Special Edition),USHER,1/1/2004,2020,1307469137,80.0
Swear to God (feat. Future),Swear to God (feat. Future),Tee Grizzley,5/10/2024,2011,7785021,1.0
Prohibidox,FELIZ CUMPLEAï¿½ï¿½OS FERXXO TE PIRATEAMOS EL ï¿,Feid,9/14/2022,2012,289624210,70.0
LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,4/14/2017,2014,1343672718,79.0
Joga o Bum Bum Tam Tam,Bum Bum Tam Tam,MC Fioti,6/14/2017,2019,191584138,34.0
Montagem Mysterious Game,Montagem Mysterious Game,LXNGVX,11/17/2023,2021,139208438,77.0
soso,Boy Alone,Omah Lay,6/24/2022,2017,167668390,71.0
SEDA,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,2009,138855240,0.0
Lace It,Lace It (with Eminem & benny blanco),Juice WRLD,12/16/2023,2023,70180212,0.0
You Say,You Say,Lauren Daigle,7/13/2018,2033,542480898,68.0
Watch The World Burn,Watch The World Burn,Falling In Reverse,1/31/2023,2029,137204273,69.0
"Hukum - Thalaivar Alappara (From ""Jailer"")","Hukum - Thalaivar Alappara (From ""Jailer"")",Anirudh Ravichander,7/17/2023,2030,143053873,61.0
With You,With You,AP Dhillon,8/11/2023,2025,159980783,68.0
HUMO,HUMO - Single,Chencho Corleone,4/4/2024,2026,44035743,0.0
I Love It (& Lil Pump),I Love It - Single,Kanye West,9/6/2018,2035,703089599,65.0
Love Songs - Bonus,Love Songs,Kaash Paige,11/19/2018,2031,478086665,73.0
Me Atraiu - Ao Vivo,Me Atraiu (Ao Vivo),Gabriela Rocha,2/1/2023,2027,103132095,63.0
LET'S GET FKD UP,LET'S GET FKD UP (feat. Tribbs),Alok,11/17/2023,2034,125445403,77.0
I LOVE YOU HOE (w/ 9lives),3x3,Odetari,7/12/2023,2028,160320384,64.0
HAPPY,HOPE,NF,4/7/2023,2032,127558523,68.0
BOOMBAYAH,SQUARE ONE,BLACKPINK,8/8/2016,2024,534374502,68.0
Min Awel Dekika,Min Awel Dekika,Elissa,5/4/2022,2040,24195796,52.0
cï¿½ï¿½mo dormi,cï¿½ï¿½mo dormi,Rels B,8/4/2022,2038,516560181,74.0
my ex's best friend (with blackbear),my ex's best friend (with blackbear),mgk,8/7/2020,2042,682383223,68.0
Parce (feat. Justin Quiles),Parce (feat. Justin Quiles),Maluma,8/20/2020,2046,423582537,61.0
ýýCuýýl Es Su Nombre?,El De La Nueva Baby,Lucky Brown,9/14/2023,2041,83521812,66.0
Borro Cassette,Borro Cassette,Maluma,6/29/2015,2045,761287318,76.0
Wild Thoughts,Wild Thoughts,DJ Khaled,6/16/2017,2043,1164638213,74.0
L'ULTIMA POESIA,L'ULTIMA POESIA - Single,Geolier,3/22/2024,2044,41788648,72.0
Where Are ï¿½ï¿½ Now (with Justin Bie,Skrillex and Diplo present Jack ï¿,Jack ï¿,2/24/2015,2036,1100392417,69.0
TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSALï¿½,5/28/2020,2047,447192467,61.0
loml,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,2039,115748552,0.0
Estï¿½ï¿½ Daï,Alma Vacï¿½,Ivan Cornejo,8/20/2021,2037,263986575,67.0
In Your Eyes,After Hours,The Weeknd,3/20/2020,2054,940914292,70.0
Take Her Home,Take Her Home - Single,Kenny Chesney,11/10/2023,2048,10292715,9.0
Don't Wanna Know (feat. Kendrick Lamar),Don't Wanna Know,Maroon 5,10/11/2016,2055,946757383,64.0
Entra Na Defender,Entra Na Defender,Luan Pereira,3/21/2024,2064,68372540,77.0
Falling,Fine Line,Harry Styles,12/13/2019,2050,1225776509,75.0
Maps,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Maroon 5,1/1/2014,2052,1676528402,79.0
We're Good,Future Nostalgia (The Moonlight Edition),Dua Lipa,2/11/2021,2049,515693079,62.0
Sip (Alcohol),Alcohol - Single,Joeboy,9/24/2021,2063,115647691,58.0
Get You (feat. Kali Uchis),Get You - Single,Daniel Caesar,10/21/2016,2056,1024198691,76.0
Body,Body,Loud Luxury,10/27/2017,2059,1187784950,74.0
One Thing At A Time,One Thing At A Time (Sampler),Morgan Wallen,12/2/2022,2057,249576970,70.0
Mentiras | CROSSOVER #3,Mentiras | CROSSOVER #3,Big One,7/25/2023,2051,99865431,64.0
911,911,Sech,2/5/2021,2058,352258962,55.0
Boyz Don't Cry,Boyz Don't Cry,Rod Wave,9/13/2023,2061,56903153,0.0
"Loser, Baby",Hazbin Hotel Original Soundtrack (Part 1),Andrew Underberg,1/19/2024,2060,91969282,0.0
A Thousand Years,A Thousand Years,Aldy Santos,2/27/2017,2062,13112,0.0
You Make It Easy,You Make It Easy,Jason Aldean,1/26/2018,2066,461456306,5.0
Hoy,Hoy,Valentino Merlo,5/22/2024,2065,3084236,62.0
Suge,Baby On Baby,DaBaby,3/1/2019,2053,647501734,62.0
ball w/o you,i am > i was,21 Savage,12/21/2018,2068,637055162,77.0
Money,Money,Cardi B,10/23/2018,2070,580625472,65.0
Queen of Kings,Queen of Kings,Alessandra,1/8/2023,2069,162396159,66.0
Hasta Que Dios Diga,Emmanuel,Anuel AA,5/29/2020,2071,657768560,71.0
H.Y.B. (feat. Bas & Central Cee),Might Delete Later,J. Cole,4/5/2024,2074,36824548,0.0
Hackearam-me,"Decretos Reais, Vol. 3",Marï¿½ï¿½lia Mendo,3/16/2023,2073,43921455,44.0
No Type,No Type,Rae Sremmurd,9/16/2014,2072,584277301,64.0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/24/2021,2067,1902241314,44.0
ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý,YOASOBI,12/15/2019,2085,588095934,67.0
Sand In My Boots,Dangerous: The Double Album,Morgan Wallen,1/8/2021,2078,379462137,72.0
Fouji Fojan Lofi 2 (feat. Aamin Barodi & Sapna Choudhary),Fouji Fojan 2 Lofi (feat. Aamin Barodi & Sapna Choudhary),Raj Mawer,3/14/2024,2088,41746,0.0
A Cara do Crime (Nï¿½ï¿½s Incom,A Cara do Crime (Nï¿½ï¿½s Incom,Mc Poze do Rodo,5/27/2021,2076,167885356,59.0
Overseas,Overseas,D-Block Europe,11/18/2021,2086,216354398,64.0
"I Pï¿½ï¿½ï¿½ ME, TU P","I Pï¿½ï¿½ï¿½ ME, TU P",Geolier,2/7/2024,2079,85967228,71.0
Monster (Shawn Mendes &amp; Justin Bieber),Monster,Shawn Mendes,11/20/2020,2075,606018960,61.0
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,1/1/2010,2084,1144535829,71.0
Circo Loco,Her Loss,Drake,11/4/2022,2077,201467069,65.0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/8/2021,2083,1823871908,46.0
Canï¿½ï¿½n Saï¿½ï,Canï¿½ï¿½n Saï¿½ï,Semicenk,4/21/2023,2082,141252425,69.0
Limbo,Freddie's Inferno,Freddie Dredd,8/11/2022,2080,290154153,68.0
Laad Piya Ke,Laad Piya Ke,Raju Punjabi,5/4/2022,2087,17675254,55.0
Coco Cola,Coco Cola,Ruchika Jangid,9/4/2020,2081,16483067,53.0
DUELE EL CORAZON,The RCA-List (Vol. 2),Enrique Iglesias,1/1/2016,2100,654612558,63.0
The Code,The Code,Nemo,2/29/2024,2091,52925522,79.0
Jï¿½ï¿½lale,Jï¿½ï¿½lale,Bb trickz,5/2/2024,2102,23649304,73.0
A Puro Dolor,A Puro Dolor - Single,Gabito Ballesteros,12/2/2023,2098,145332157,80.0
Baddie,I'VE MINE,IVE,10/13/2023,2094,97738080,0.0
Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,11/20/2020,2101,795449825,67.0
Why Not,Why Not,Ghostface Playa,4/1/2022,2099,187925725,64.0
Got It On Me,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,2096,501468322,67.0
intro (end of the world),eternal sunshine,Ariana Grande,3/8/2024,2090,216386557,82.0
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1/1/1994,2097,1810649765,60.0
La Rompe Corazones,La Rompe Corazones,Daddy Yankee,1/13/2017,2093,526264393,66.0
QUE ME FALTE TODO,QUE ME FALTE TODO,Luck Ra,10/26/2023,2089,83544478,66.0
How To Fly (Abbey Road Remaster 2024),Caress Your Soul (Abbey Road Remaster 2024),Sticky Fingers,3/8/2024,2092,190342124,0.0
Dj Dayak Full Beat Lagu Malihi Janji,Dj Dayak Full Beat Lagu Malihi Janji,Jeremya Ginting,12/6/2022,2095,3211473,0.0
Si Estuviï¿½ï¿½semos Ju,X 100PRE,Bad Bunny,12/23/2018,2106,893876704,75.0
360,360,Charli xcx,5/10/2024,2104,31940305,76.0
GATA ONLY (Con Cris MJ),GATA ONLY (Con Cris MJ),FloyyMenor,2/2/2024,2105,668280514,0.0
El Perdï¿½,Full Circle: The Live Anthology,Nicky Jam,11/20/2011,2108,869024663,69.0
Love Scars,A Love Letter To You,Trippie Redd,5/14/2017,2103,402970867,5.0
Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,2107,318340376,71.0
Akher Yawm,Akher Yawm - Single,Ghaliaa,8/7/2023,2109,447624,29.0
Ascend,Ascend - Single,Dezko,6/9/2023,2114,76305266,66.0
SI SABE FERXXO,SI SABE FERXXO,Blessd,1/24/2024,2117,124020754,74.0
Wind Up Missin' You,Wind Up Missin' You - Single,Tucker Wetmore,3/29/2024,2116,58496778,74.0
No Limit,No Limit,G-Eazy,9/7/2017,2118,660710453,62.0
ten,ten,Fred again..,10/13/2023,2110,80795111,0.0
"Dance For Me (1, 2, 3) - Stutter Techno","Dance For Me (1, 2, 3) [Stutter Techno]",Sonny Wern,10/6/2023,2115,87323895,0.0
Paro,Paro,Nej,5/21/2021,2112,120054361,56.0
HOPE,HOPE,NF,2/16/2023,2111,164875589,64.0
On My Way,On My Way,Alan Walker,3/21/2019,2119,670068696,67.0
You Need To Calm Down,You Need To Calm Down,Taylor Swift,6/14/2019,2113,935098853,75.0
Dancinï¿½ï¿½ï¿½ In The C,Dancin' In The Country,Tyler Hubbard,8/19/2022,2129,142607318,67.0
Starting Over,Starting Over,Chris Stapleton,8/27/2020,2134,320586187,71.0
295,Moosetape,Sidhu Moose Wala,5/15/2021,2130,267897492,68.0
Gangsta's Paradise (feat. L.V.),...And You Don't Stop - A Celebration of 50 Years of Hip Hop,Coolio,8/11/2023,2128,1666699743,13.0
Gulabi Sharara,Gulabi Sharara,Inder Arya,7/27/2023,2122,17389541,53.0
Otro Atardecer,Un Verano Sin Ti,Bad Bunny,5/6/2022,2126,426439016,71.0
ýýlle de Sen,ýýlle de Sen - Single,Muti,11/17/2023,2132,49630584,0.0
Soweto,Outlaw,Victony,5/6/2022,2123,133353888,69.0
Enjoy,Enjoy,Jux,7/14/2023,2127,7403756,19.0
Poland,Poland - Single,Lil Yachty,10/4/2022,2131,142817891,58.0
BBY BOO,BBY BOO,iZaak,12/21/2023,2125,6172030,0.0
Brillarosa,Dolido Pero No Arrepentido - EP,Fuerza Regida,2/9/2024,2120,69834726,0.0
Bertaraf,Sir,Canbay & Wolker,9/29/2023,2124,71190581,70.0
U My Everything (feat. Drake),In Sexyy We Trust,Sexyy Red,5/24/2024,2133,13671209,71.0
Devil Eyes,Providence,Hippie Sabotage,2/5/2016,2121,769295129,71.0
m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,5/14/2021,2135,436133194,68.0
I'm Yours,DDB Hitzone Best Of 2008,Jason Mraz,1/1/2008,2136,1878098512,72.0
"Going, Going, Gone",Growin' Up,Luke Combs,6/24/2022,2139,192633758,72.0
HISS,HISS,Megan Thee Stallion,1/26/2024,2141,80952546,0.0
Baarish Ki Jaaye,Baarish Ki Jaaye,B Praak,3/27/2021,2142,53064181,53.0
Company,Company,Emiway Bantai,1/22/2023,2144,39899018,49.0
get him back!,GUTS,Olivia Rodrigo,9/8/2023,2140,287164579,0.0
LA PEOPLE,LA PEOPLE,Peso Pluma,6/22/2023,2143,261311116,75.0
BRAZILIAN DANï¿½ï¿½A P,BRAZILIAN DANï¿½ï¿½A P,6YNTHMANE,5/12/2023,2137,185914923,72.0
REACT,REACT,Switch Disco,1/13/2023,2138,137897920,69.0
Ocean,OCEAN,KAROL G,5/3/2019,2149,312111545,66.0
Wrecked,Wrecked,Imagine Dragons,7/2/2021,2153,309587427,64.0
Think U The Shit (Fart),Think U The Shit (Fart),Ice Spice,1/26/2024,2155,82013588,0.0
Brown Munde,Brown Munde,AP Dhillon,9/18/2020,2148,267617808,64.0
"Kallo(Feat.Ajay Hooda,Pooja Hooda)","Kallo(Feat.Ajay Hooda,Pooja Hooda)",Komal Choudhary,10/25/2023,2146,15483918,0.0
pov,Positions,Ariana Grande,10/30/2020,2147,541397856,66.0
Dancing On My Own,Dancing On My Own,Calum Scott,3/11/2016,2154,1232373956,74.0
Stay With Me,Full Circle: The Live Anthology,Sam Smith,11/20/2011,2152,2086460781,77.0
Back Then Right Now,Back Then Right Now,Tyler Hubbard,9/8/2023,2150,26917389,0.0
Boucan (feat. Franglish),Boucan (feat. Franglish),KeBlack,4/25/2024,2145,21670034,73.0
Fulanito,Fulanito,Becky G,6/3/2021,2151,254118106,58.0
Only Love Can Hurt Like This (feat. Teddy Swims) - Remix,Only Love Can Hurt Like This (feat. Teddy Swims) - Single,Paloma Faith,9/23/2022,2156,10296798,58.0
Business (feat. Naza),Business (feat. Naza),DYSTINCT,6/1/2023,2160,74769930,60.0
MANIAC,ODDINARY,Stray Kids,3/18/2022,2163,293724552,68.0
A Real Playa,A Real Playa - Single,Parsa Nani,5/24/2024,2158,17255,0.0
Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition),Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition) - Single,Dominic Fike,6/2/2023,2159,148686610,63.0
ADIï¿½,LA NENA DE ARGENTINA,Maria Becerra,12/8/2022,2157,172082938,66.0
Something About You,Something About You,Eyedress,6/3/2021,2162,438511316,77.0
Patadas de Ahogado,Patadas de Ahogado,LATIN MAFIA,11/3/2023,2161,127503950,0.0
After LIKE,After LIKE - Single,IVE,8/22/2022,2169,365203093,69.0
So Far,So Far,florias,3/10/2023,2164,10554,10.0
idontwannabeyouanymore,dont smile at me,Billie Eilish,7/21/2017,2166,1091185920,72.0
Debo Entender,Debo Entender,Santa Fe Klan,12/12/2019,2168,335856859,66.0
Vem Desestressar,Vem Desestressar,MC PH,4/4/2024,2177,35473387,69.0
Darkside,Darkside,Alan Walker,7/27/2018,2173,596469106,67.0
Call Me Every Day (feat. WizKid),Call Me Every Day (feat. WizKid),Chris Brown,6/17/2022,2174,125056212,61.0
World's Smallest Violin,OK ORCHESTRA,AJR,1/1/2021,2165,343227483,63.0
Thot Shit,Thot Shit,Megan Thee Stallion,6/11/2021,2176,319372639,60.0
Money Trees,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,1/1/2012,2167,1476217041,75.0
Si La Calle Llama - Remix,3MEN2 KBRN,Eladio Carrion,3/17/2023,2175,190420514,65.0
Kusu Kusu (feat. Pamela Jain),Top Hits - Single,Dev Negi,12/22/2021,2171,0,0.0
Waffle House,Waffle House,Jonas Brothers,4/7/2023,2170,139105802,63.0
Tacata,Tacata,Tiagz,8/11/2023,2172,39715603,60.0
Got Me Started,Got Me Started,Troye Sivan,9/20/2023,2180,125169958,5.0
Low,SOS,SZA,12/9/2022,2178,452881574,73.0
Night Changes,FOUR (Deluxe),One Direction,11/17/2014,2179,1548151634,83.0
De Los Besos Que Te Di,De Los Besos Que Te Di,Christian Nodal,4/15/2019,2182,518477840,71.0
BRODYAGA FUNK,BRODYAGA FUNK - EP,Eternxlkz,11/17/2023,2183,73316998,75.0
Private Jet,Mafia Musik,D. Savage,2/17/2023,2181,3608717,40.0
DNA.,DAMN.,Kendrick Lamar,4/14/2017,2184,1157112366,75.0
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",Ty Dolla $ign,6/10/2014,2197,949312501,74.0
Baklava,Baklava - Single,Gya,4/15/2024,2189,5633595,61.0
bye,eternal sunshine,Ariana Grande,3/8/2024,2194,127408697,0.0
BIZCOCHITO,Find Your Line: Official Music from GRAN TURISMO 7,ROSALï¿½,3/4/2022,2192,222910969,61.0
Veggie Dance,Veggie Dance,Gracie's Corner,4/5/2024,2187,2279039,55.0
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,2/1/2015,2193,1532983094,70.0
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,10/4/2019,2185,666107710,71.0
Sittin' On Top Of The World,Sittin' On Top Of The World - Single,Burna Boy,6/1/2023,2196,44751795,55.0
Si Fuera Fï¿½ï¿,Si Fuera Fï¿½ï¿½cil - Si,Grupo Marca Registrada,5/27/2022,2195,285183501,65.0
Broke In A Minute,Broke In A Minute,Tory Lanez,2/7/2020,2186,407015049,70.0
Mahiya Ve Gal Sun Mahiya Vey,Mahiya Ve Gal Sun Mahiya Vey - Single,Nimra Mehra,9/29/2023,2190,209649,0.0
Engana Dizendo Que Ama,Dos Prï¿½ï¿½dios De,Veigh,5/19/2023,2188,142474379,67.0
In Case You Didn't Know,Brett Young EP,Brett Young,1/1/2016,2198,560774282,68.0
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,3/22/2023,2191,146680564,62.0
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcï¿½ï¿½,9/30/2016,2199,462055272,71.0
HVN ON EARTH (with Kodak Black),HVN ON EARTH,Lil Tecca,8/18/2023,2201,114669893,60.0
Gently (feat. Bad Bunny),For All The Dogs,Drake,10/6/2023,2204,123630149,0.0
It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2/16/2017,2205,1430439855,71.0
Baarish Ban Jaana,Baarish Ban Jaana,Payal Dev,6/3/2021,2202,70622319,57.0
I CAN'T STOP ME,Eyes Wide Open,TWICE,10/26/2020,2200,384886220,65.0
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,9/6/2019,2203,622690472,69.0
Filhaal2 Mohabbat,Filhaal2 Mohabbat,B Praak,7/6/2021,2206,72348363,57.0
8am in Charlotte,For All The Dogs,Drake,10/6/2023,2207,81093233,0.0
Vivir Mi Vida,3,Marc Anthony,7/23/2013,2210,618671056,71.0
Lullaby - BadWolf Remix,Lullaby (BadWolf Remix),TR-MEET,3/24/2023,2213,18204,10.0
Love Not War (The Tampa Beat),Love Not War (The Tampa Beat) [Remixes] (feat. Jason Derulo),Jason Derulo,11/19/2020,2212,286179073,59.0
WHERE SHE GOES,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,2208,717849037,0.0
"Lose Yourself - From ""8 Mile"" Soundtrack",8 Mile,Eminem,10/29/2002,2222,2194935773,75.0
My Oh My,My Oh My,Ava Max,4/4/2024,2216,20012688,1.0
Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Reneï¿½ï¿½ ,12/15/2023,2221,81494626,0.0
willow,evermore,Taylor Swift,12/10/2020,2217,844790027,72.0
100 MESSAGGI,100 MESSAGGI,Lazza,2/27/2024,2219,69972816,73.0
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,8/13/2021,2218,509445605,68.0
